GEO_CODE (POR),GEO_NAME,dimension,Member ID: Profile of Economic Regions (2247),total
2475,Saguenay--Lac-Saint-Jean,Total - Persons not in census families in private households - 100% data,91,49245.00
2475,Saguenay--Lac-Saint-Jean,Total - Private households by household type - 100% data,92,122795.00
2475,Saguenay--Lac-Saint-Jean,One-census-family households,93,79705.00
2475,Saguenay--Lac-Saint-Jean,Without children in a census family,94,40430.00
2475,Saguenay--Lac-Saint-Jean,With children in a census family,95,39275.00
2475,Saguenay--Lac-Saint-Jean,Multiple-census-family households,96,520.00
2475,Saguenay--Lac-Saint-Jean,Non-census-family households,97,42570.00
2475,Saguenay--Lac-Saint-Jean,One-person households,98,39420.00
2475,Saguenay--Lac-Saint-Jean,Two-or-more person non-census-family households,99,3150.00
2475,Saguenay--Lac-Saint-Jean,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,100,272900.00
2475,Saguenay--Lac-Saint-Jean,English only,101,320.00
2475,Saguenay--Lac-Saint-Jean,French only,102,220780.00
2475,Saguenay--Lac-Saint-Jean,English and French,103,51700.00
2475,Saguenay--Lac-Saint-Jean,Neither English nor French,104,100.00
2475,Saguenay--Lac-Saint-Jean,Total - First official language spoken for the total population excluding institutional residents - 100% data,105,272900.00
2475,Saguenay--Lac-Saint-Jean,English,106,1800.00
2475,Saguenay--Lac-Saint-Jean,French,107,270680.00
2475,Saguenay--Lac-Saint-Jean,English and French,108,340.00
2475,Saguenay--Lac-Saint-Jean,Neither English nor French,109,80.00
2475,Saguenay--Lac-Saint-Jean,Official language minority (number),110,1970.00
2475,Saguenay--Lac-Saint-Jean,Official language minority (percentage),111,0.70
2475,Saguenay--Lac-Saint-Jean,Total - Mother tongue for the total population excluding institutional residents - 100% data,112,272900.00
2475,Saguenay--Lac-Saint-Jean,Single responses,113,271925.00
2475,Saguenay--Lac-Saint-Jean,Official languages,114,269990.00
2475,Saguenay--Lac-Saint-Jean,English,115,1710.00
2475,Saguenay--Lac-Saint-Jean,French,116,268285.00
2475,Saguenay--Lac-Saint-Jean,Non-official languages,117,1925.00
2475,Saguenay--Lac-Saint-Jean,Aboriginal languages,118,440.00
2475,Saguenay--Lac-Saint-Jean,Algonquian languages,119,425.00
2475,Saguenay--Lac-Saint-Jean,Blackfoot,120,0.00
2475,Saguenay--Lac-Saint-Jean,Cree-Montagnais languages,121,420.00
2475,Saguenay--Lac-Saint-Jean,Atikamekw,122,205.00
2475,Saguenay--Lac-Saint-Jean,Montagnais (Innu),123,210.00
2475,Saguenay--Lac-Saint-Jean,Moose Cree,124,0.00
2475,Saguenay--Lac-Saint-Jean,Naskapi,125,0.00
2475,Saguenay--Lac-Saint-Jean,Northern East Cree,126,0.00
2475,Saguenay--Lac-Saint-Jean,Plains Cree,127,0.00
2475,Saguenay--Lac-Saint-Jean,Southern East Cree,128,0.00
2475,Saguenay--Lac-Saint-Jean,Swampy Cree,129,0.00
2475,Saguenay--Lac-Saint-Jean,Woods Cree,130,0.00
2475,Saguenay--Lac-Saint-Jean,"Cree, n.o.s.",131,5.00
2475,Saguenay--Lac-Saint-Jean,Eastern Algonquian languages,132,0.00
2475,Saguenay--Lac-Saint-Jean,Malecite,133,0.00
2475,Saguenay--Lac-Saint-Jean,Mi'kmaq,134,0.00
2475,Saguenay--Lac-Saint-Jean,Ojibway-Potawatomi languages,135,0.00
2475,Saguenay--Lac-Saint-Jean,Algonquin,136,5.00
2475,Saguenay--Lac-Saint-Jean,Ojibway,137,5.00
2475,Saguenay--Lac-Saint-Jean,Oji-Cree,138,0.00
2475,Saguenay--Lac-Saint-Jean,Ottawa (Odawa),139,0.00
2475,Saguenay--Lac-Saint-Jean,"Algonquian languages, n.i.e.",140,0.00
2475,Saguenay--Lac-Saint-Jean,Athabaskan languages,141,0.00
2475,Saguenay--Lac-Saint-Jean,Northern Athabaskan languages,142,0.00
2475,Saguenay--Lac-Saint-Jean,Babine (Wetsuwet'en),143,0.00
2475,Saguenay--Lac-Saint-Jean,Beaver,144,0.00
2475,Saguenay--Lac-Saint-Jean,Carrier,145,0.00
2475,Saguenay--Lac-Saint-Jean,Chilcotin,146,0.00
2475,Saguenay--Lac-Saint-Jean,Dene,147,0.00
2475,Saguenay--Lac-Saint-Jean,Dogrib (Tlicho),148,0.00
2475,Saguenay--Lac-Saint-Jean,Gwich'in,149,0.00
2475,Saguenay--Lac-Saint-Jean,Sarsi (Sarcee),150,0.00
2475,Saguenay--Lac-Saint-Jean,Sekani,151,0.00
2475,Saguenay--Lac-Saint-Jean,Slavey-Hare languages,152,0.00
2475,Saguenay--Lac-Saint-Jean,North Slavey (Hare),153,0.00
2475,Saguenay--Lac-Saint-Jean,South Slavey,154,0.00
2475,Saguenay--Lac-Saint-Jean,"Slavey, n.o.s.",155,0.00
2475,Saguenay--Lac-Saint-Jean,Tahltan languages,156,0.00
2475,Saguenay--Lac-Saint-Jean,Kaska (Nahani),157,0.00
2475,Saguenay--Lac-Saint-Jean,Tahltan,158,0.00
2475,Saguenay--Lac-Saint-Jean,Tutchone languages,159,0.00
2475,Saguenay--Lac-Saint-Jean,Northern Tutchone,160,0.00
2475,Saguenay--Lac-Saint-Jean,Southern Tutchone,161,0.00
2475,Saguenay--Lac-Saint-Jean,"Athabaskan languages, n.i.e.",162,0.00
2475,Saguenay--Lac-Saint-Jean,Haida,163,0.00
2475,Saguenay--Lac-Saint-Jean,Inuit languages,164,10.00
2475,Saguenay--Lac-Saint-Jean,Inuinnaqtun (Inuvialuktun),165,0.00
2475,Saguenay--Lac-Saint-Jean,Inuktitut,166,10.00
2475,Saguenay--Lac-Saint-Jean,"Inuit languages, n.i.e.",167,0.00
2475,Saguenay--Lac-Saint-Jean,Iroquoian languages,168,0.00
2475,Saguenay--Lac-Saint-Jean,Cayuga,169,0.00
2475,Saguenay--Lac-Saint-Jean,Mohawk,170,0.00
2475,Saguenay--Lac-Saint-Jean,Oneida,171,0.00
2475,Saguenay--Lac-Saint-Jean,"Iroquoian languages, n.i.e.",172,0.00
2475,Saguenay--Lac-Saint-Jean,Kutenai,173,0.00
2475,Saguenay--Lac-Saint-Jean,Michif,174,0.00
2475,Saguenay--Lac-Saint-Jean,Salish languages,175,0.00
2475,Saguenay--Lac-Saint-Jean,Comox,176,0.00
2475,Saguenay--Lac-Saint-Jean,Halkomelem,177,0.00
2475,Saguenay--Lac-Saint-Jean,Lillooet,178,0.00
2475,Saguenay--Lac-Saint-Jean,Okanagan,179,0.00
2475,Saguenay--Lac-Saint-Jean,Shuswap (Secwepemctsin),180,0.00
2475,Saguenay--Lac-Saint-Jean,Squamish,181,0.00
2475,Saguenay--Lac-Saint-Jean,Straits,182,0.00
2475,Saguenay--Lac-Saint-Jean,Thompson (Ntlakapamux),183,0.00
2475,Saguenay--Lac-Saint-Jean,"Salish languages, n.i.e.",184,0.00
2475,Saguenay--Lac-Saint-Jean,Siouan languages,185,0.00
2475,Saguenay--Lac-Saint-Jean,Dakota,186,0.00
2475,Saguenay--Lac-Saint-Jean,Stoney,187,0.00
2475,Saguenay--Lac-Saint-Jean,"Siouan languages, n.i.e.",188,0.00
2475,Saguenay--Lac-Saint-Jean,Tlingit,189,0.00
2475,Saguenay--Lac-Saint-Jean,Tsimshian languages,190,0.00
2475,Saguenay--Lac-Saint-Jean,Gitxsan (Gitksan),191,0.00
2475,Saguenay--Lac-Saint-Jean,Nisga'a,192,0.00
2475,Saguenay--Lac-Saint-Jean,Tsimshian,193,0.00
2475,Saguenay--Lac-Saint-Jean,Wakashan languages,194,0.00
2475,Saguenay--Lac-Saint-Jean,Haisla,195,0.00
2475,Saguenay--Lac-Saint-Jean,Heiltsuk,196,0.00
2475,Saguenay--Lac-Saint-Jean,Kwakiutl (Kwak'wala),197,0.00
2475,Saguenay--Lac-Saint-Jean,Nuu-chah-nulth (Nootka),198,0.00
2475,Saguenay--Lac-Saint-Jean,"Wakashan languages, n.i.e.",199,0.00
2475,Saguenay--Lac-Saint-Jean,"Aboriginal languages, n.o.s.",200,0.00
2475,Saguenay--Lac-Saint-Jean,Non-Aboriginal languages,201,1490.00
2475,Saguenay--Lac-Saint-Jean,Afro-Asiatic languages,202,260.00
2475,Saguenay--Lac-Saint-Jean,Berber languages,203,30.00
2475,Saguenay--Lac-Saint-Jean,Kabyle,204,15.00
2475,Saguenay--Lac-Saint-Jean,"Berber languages, n.i.e.",205,15.00
2475,Saguenay--Lac-Saint-Jean,Cushitic languages,206,0.00
2475,Saguenay--Lac-Saint-Jean,Bilen,207,0.00
2475,Saguenay--Lac-Saint-Jean,Oromo,208,0.00
2475,Saguenay--Lac-Saint-Jean,Somali,209,0.00
2475,Saguenay--Lac-Saint-Jean,"Cushitic languages, n.i.e.",210,0.00
2475,Saguenay--Lac-Saint-Jean,Semitic languages,211,230.00
2475,Saguenay--Lac-Saint-Jean,Amharic,212,5.00
2475,Saguenay--Lac-Saint-Jean,Arabic,213,220.00
2475,Saguenay--Lac-Saint-Jean,Assyrian Neo-Aramaic,214,0.00
2475,Saguenay--Lac-Saint-Jean,Chaldean Neo-Aramaic,215,0.00
2475,Saguenay--Lac-Saint-Jean,Harari,216,0.00
2475,Saguenay--Lac-Saint-Jean,Hebrew,217,0.00
2475,Saguenay--Lac-Saint-Jean,Maltese,218,0.00
2475,Saguenay--Lac-Saint-Jean,Tigrigna,219,0.00
2475,Saguenay--Lac-Saint-Jean,"Semitic languages, n.i.e.",220,0.00
2475,Saguenay--Lac-Saint-Jean,"Afro-Asiatic languages, n.i.e.",221,0.00
2475,Saguenay--Lac-Saint-Jean,Austro-Asiatic languages,222,45.00
2475,Saguenay--Lac-Saint-Jean,Khmer (Cambodian),223,5.00
2475,Saguenay--Lac-Saint-Jean,Vietnamese,224,40.00
2475,Saguenay--Lac-Saint-Jean,"Austro-Asiatic languages, n.i.e",225,0.00
2475,Saguenay--Lac-Saint-Jean,Austronesian languages,226,40.00
2475,Saguenay--Lac-Saint-Jean,Bikol,227,0.00
2475,Saguenay--Lac-Saint-Jean,Cebuano,228,10.00
2475,Saguenay--Lac-Saint-Jean,Fijian,229,0.00
2475,Saguenay--Lac-Saint-Jean,Hiligaynon,230,0.00
2475,Saguenay--Lac-Saint-Jean,Ilocano,231,0.00
2475,Saguenay--Lac-Saint-Jean,Malagasy,232,15.00
2475,Saguenay--Lac-Saint-Jean,Malay,233,0.00
2475,Saguenay--Lac-Saint-Jean,"Pampangan (Kapampangan, Pampango)",234,0.00
2475,Saguenay--Lac-Saint-Jean,Pangasinan,235,0.00
2475,Saguenay--Lac-Saint-Jean,"Tagalog (Pilipino, Filipino)",236,15.00
2475,Saguenay--Lac-Saint-Jean,Waray-Waray,237,0.00
2475,Saguenay--Lac-Saint-Jean,"Austronesian languages, n.i.e.",238,0.00
2475,Saguenay--Lac-Saint-Jean,Creole languages,239,60.00
2475,Saguenay--Lac-Saint-Jean,Haitian Creole,240,10.00
2475,Saguenay--Lac-Saint-Jean,"Creole, n.o.s.",241,45.00
2475,Saguenay--Lac-Saint-Jean,"Creole languages, n.i.e.",242,5.00
2475,Saguenay--Lac-Saint-Jean,Dravidian languages,243,5.00
2475,Saguenay--Lac-Saint-Jean,Kannada,244,0.00
2475,Saguenay--Lac-Saint-Jean,Malayalam,245,5.00
2475,Saguenay--Lac-Saint-Jean,Tamil,246,0.00
2475,Saguenay--Lac-Saint-Jean,Telugu,247,0.00
2475,Saguenay--Lac-Saint-Jean,"Dravidian languages, n.i.e.",248,0.00
2475,Saguenay--Lac-Saint-Jean,Hmong-Mien languages,249,0.00
2475,Saguenay--Lac-Saint-Jean,Indo-European languages,250,730.00
2475,Saguenay--Lac-Saint-Jean,Albanian,251,0.00
2475,Saguenay--Lac-Saint-Jean,Armenian,252,5.00
2475,Saguenay--Lac-Saint-Jean,Balto-Slavic languages,253,95.00
2475,Saguenay--Lac-Saint-Jean,Baltic languages,254,0.00
2475,Saguenay--Lac-Saint-Jean,Latvian,255,0.00
2475,Saguenay--Lac-Saint-Jean,Lithuanian,256,0.00
2475,Saguenay--Lac-Saint-Jean,Slavic languages,257,95.00
2475,Saguenay--Lac-Saint-Jean,Belarusan,258,0.00
2475,Saguenay--Lac-Saint-Jean,Bosnian,259,5.00
2475,Saguenay--Lac-Saint-Jean,Bulgarian,260,0.00
2475,Saguenay--Lac-Saint-Jean,Croatian,261,5.00
2475,Saguenay--Lac-Saint-Jean,Czech,262,0.00
2475,Saguenay--Lac-Saint-Jean,Macedonian,263,0.00
2475,Saguenay--Lac-Saint-Jean,Polish,264,25.00
2475,Saguenay--Lac-Saint-Jean,Russian,265,25.00
2475,Saguenay--Lac-Saint-Jean,Serbian,266,15.00
2475,Saguenay--Lac-Saint-Jean,Serbo-Croatian,267,5.00
2475,Saguenay--Lac-Saint-Jean,Slovak,268,5.00
2475,Saguenay--Lac-Saint-Jean,Slovene (Slovenian),269,0.00
2475,Saguenay--Lac-Saint-Jean,Ukrainian,270,5.00
2475,Saguenay--Lac-Saint-Jean,"Slavic languages, n.i.e.",271,0.00
2475,Saguenay--Lac-Saint-Jean,Celtic languages,272,0.00
2475,Saguenay--Lac-Saint-Jean,Scottish Gaelic,273,0.00
2475,Saguenay--Lac-Saint-Jean,Welsh,274,0.00
2475,Saguenay--Lac-Saint-Jean,"Celtic languages, n.i.e.",275,0.00
2475,Saguenay--Lac-Saint-Jean,Germanic languages,276,75.00
2475,Saguenay--Lac-Saint-Jean,Afrikaans,277,0.00
2475,Saguenay--Lac-Saint-Jean,Danish,278,5.00
2475,Saguenay--Lac-Saint-Jean,Dutch,279,15.00
2475,Saguenay--Lac-Saint-Jean,Frisian,280,0.00
2475,Saguenay--Lac-Saint-Jean,German,281,55.00
2475,Saguenay--Lac-Saint-Jean,Icelandic,282,0.00
2475,Saguenay--Lac-Saint-Jean,Norwegian,283,0.00
2475,Saguenay--Lac-Saint-Jean,Swedish,284,0.00
2475,Saguenay--Lac-Saint-Jean,Vlaams (Flemish),285,0.00
2475,Saguenay--Lac-Saint-Jean,Yiddish,286,0.00
2475,Saguenay--Lac-Saint-Jean,"Germanic languages, n.i.e.",287,5.00
2475,Saguenay--Lac-Saint-Jean,Greek,288,10.00
2475,Saguenay--Lac-Saint-Jean,Indo-Iranian languages,289,30.00
2475,Saguenay--Lac-Saint-Jean,Indo-Aryan languages,290,15.00
2475,Saguenay--Lac-Saint-Jean,Bengali,291,5.00
2475,Saguenay--Lac-Saint-Jean,Gujarati,292,0.00
2475,Saguenay--Lac-Saint-Jean,Hindi,293,0.00
2475,Saguenay--Lac-Saint-Jean,Kashmiri,294,0.00
2475,Saguenay--Lac-Saint-Jean,Konkani,295,0.00
2475,Saguenay--Lac-Saint-Jean,Marathi,296,0.00
2475,Saguenay--Lac-Saint-Jean,Nepali,297,0.00
2475,Saguenay--Lac-Saint-Jean,Oriya (Odia),298,0.00
2475,Saguenay--Lac-Saint-Jean,Punjabi (Panjabi),299,5.00
2475,Saguenay--Lac-Saint-Jean,Sindhi,300,0.00
2475,Saguenay--Lac-Saint-Jean,Sinhala (Sinhalese),301,0.00
2475,Saguenay--Lac-Saint-Jean,Urdu,302,0.00
2475,Saguenay--Lac-Saint-Jean,Iranian languages,303,20.00
2475,Saguenay--Lac-Saint-Jean,Kurdish,304,0.00
2475,Saguenay--Lac-Saint-Jean,Pashto,305,0.00
2475,Saguenay--Lac-Saint-Jean,Persian (Farsi),306,15.00
2475,Saguenay--Lac-Saint-Jean,"Indo-Iranian languages, n.i.e.",307,0.00
2475,Saguenay--Lac-Saint-Jean,Italic (Romance) languages,308,515.00
2475,Saguenay--Lac-Saint-Jean,Catalan,309,0.00
2475,Saguenay--Lac-Saint-Jean,Italian,310,65.00
2475,Saguenay--Lac-Saint-Jean,Portuguese,311,55.00
2475,Saguenay--Lac-Saint-Jean,Romanian,312,25.00
2475,Saguenay--Lac-Saint-Jean,Spanish,313,370.00
2475,Saguenay--Lac-Saint-Jean,"Italic (Romance) languages, n.i.e.",314,0.00
2475,Saguenay--Lac-Saint-Jean,Japanese,315,5.00
2475,Saguenay--Lac-Saint-Jean,Kartvelian languages,316,5.00
2475,Saguenay--Lac-Saint-Jean,Georgian,317,0.00
2475,Saguenay--Lac-Saint-Jean,Korean,318,5.00
2475,Saguenay--Lac-Saint-Jean,Mongolic languages,319,0.00
2475,Saguenay--Lac-Saint-Jean,Mongolian,320,0.00
2475,Saguenay--Lac-Saint-Jean,Niger-Congo languages,321,140.00
2475,Saguenay--Lac-Saint-Jean,Akan (Twi),322,0.00
2475,Saguenay--Lac-Saint-Jean,Bamanankan,323,10.00
2475,Saguenay--Lac-Saint-Jean,Edo,324,0.00
2475,Saguenay--Lac-Saint-Jean,Ewe,325,10.00
2475,Saguenay--Lac-Saint-Jean,"Fulah (Pular, Pulaar, Fulfulde)",326,10.00
2475,Saguenay--Lac-Saint-Jean,Ga,327,0.00
2475,Saguenay--Lac-Saint-Jean,Ganda,328,0.00
2475,Saguenay--Lac-Saint-Jean,Igbo,329,0.00
2475,Saguenay--Lac-Saint-Jean,Lingala,330,5.00
2475,Saguenay--Lac-Saint-Jean,Rundi (Kirundi),331,10.00
2475,Saguenay--Lac-Saint-Jean,Kinyarwanda (Rwanda),332,5.00
2475,Saguenay--Lac-Saint-Jean,Shona,333,0.00
2475,Saguenay--Lac-Saint-Jean,Swahili,334,5.00
2475,Saguenay--Lac-Saint-Jean,Wolof,335,25.00
2475,Saguenay--Lac-Saint-Jean,Yoruba,336,0.00
2475,Saguenay--Lac-Saint-Jean,"Niger-Congo languages, n.i.e.",337,50.00
2475,Saguenay--Lac-Saint-Jean,Nilo-Saharan languages,338,5.00
2475,Saguenay--Lac-Saint-Jean,Dinka,339,0.00
2475,Saguenay--Lac-Saint-Jean,"Nilo-Saharan languages, n.i.e.",340,0.00
2475,Saguenay--Lac-Saint-Jean,Sign languages,341,35.00
2475,Saguenay--Lac-Saint-Jean,American Sign Language,342,0.00
2475,Saguenay--Lac-Saint-Jean,Quebec Sign Language,343,10.00
2475,Saguenay--Lac-Saint-Jean,"Sign languages, n.i.e",344,25.00
2475,Saguenay--Lac-Saint-Jean,Sino-Tibetan languages,345,105.00
2475,Saguenay--Lac-Saint-Jean,Chinese languages,346,105.00
2475,Saguenay--Lac-Saint-Jean,Cantonese,347,10.00
2475,Saguenay--Lac-Saint-Jean,Hakka,348,0.00
2475,Saguenay--Lac-Saint-Jean,Mandarin,349,80.00
2475,Saguenay--Lac-Saint-Jean,Min Dong,350,0.00
2475,Saguenay--Lac-Saint-Jean,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",351,0.00
2475,Saguenay--Lac-Saint-Jean,Wu (Shanghainese),352,0.00
2475,Saguenay--Lac-Saint-Jean,"Chinese, n.o.s.",353,15.00
2475,Saguenay--Lac-Saint-Jean,"Chinese languages, n.i.e.",354,0.00
2475,Saguenay--Lac-Saint-Jean,Tibeto-Burman languages,355,0.00
2475,Saguenay--Lac-Saint-Jean,Burmese,356,0.00
2475,Saguenay--Lac-Saint-Jean,Karenic languages,357,0.00
2475,Saguenay--Lac-Saint-Jean,Tibetan,358,0.00
2475,Saguenay--Lac-Saint-Jean,"Tibeto-Burman languages, n.i.e.",359,0.00
2475,Saguenay--Lac-Saint-Jean,Tai-Kadai languages,360,15.00
2475,Saguenay--Lac-Saint-Jean,Lao,361,10.00
2475,Saguenay--Lac-Saint-Jean,Thai,362,10.00
2475,Saguenay--Lac-Saint-Jean,"Tai-Kadai languages, n.i.e",363,0.00
2475,Saguenay--Lac-Saint-Jean,Turkic languages,364,5.00
2475,Saguenay--Lac-Saint-Jean,Azerbaijani,365,0.00
2475,Saguenay--Lac-Saint-Jean,Turkish,366,10.00
2475,Saguenay--Lac-Saint-Jean,Uyghur,367,0.00
2475,Saguenay--Lac-Saint-Jean,Uzbek,368,0.00
2475,Saguenay--Lac-Saint-Jean,"Turkic languages, n.i.e.",369,0.00
2475,Saguenay--Lac-Saint-Jean,Uralic languages,370,25.00
2475,Saguenay--Lac-Saint-Jean,Estonian,371,0.00
2475,Saguenay--Lac-Saint-Jean,Finnish,372,5.00
2475,Saguenay--Lac-Saint-Jean,Hungarian,373,20.00
2475,Saguenay--Lac-Saint-Jean,"Uralic languages, n.i.e.",374,0.00
2475,Saguenay--Lac-Saint-Jean,"Other languages, n.i.e.",375,5.00
2475,Saguenay--Lac-Saint-Jean,Multiple responses,376,980.00
2475,Saguenay--Lac-Saint-Jean,English and French,377,655.00
2475,Saguenay--Lac-Saint-Jean,English and non-official language,378,20.00
2475,Saguenay--Lac-Saint-Jean,French and non-official language,379,285.00
2475,Saguenay--Lac-Saint-Jean,"English, French and non-official language",380,20.00
2475,Saguenay--Lac-Saint-Jean,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,381,272895.00
2475,Saguenay--Lac-Saint-Jean,Single responses,382,271775.00
2475,Saguenay--Lac-Saint-Jean,Official languages,383,271065.00
2475,Saguenay--Lac-Saint-Jean,English,384,1175.00
2475,Saguenay--Lac-Saint-Jean,French,385,269895.00
2475,Saguenay--Lac-Saint-Jean,Non-official languages,386,710.00
2475,Saguenay--Lac-Saint-Jean,Aboriginal languages,387,180.00
