GEO_NAME,city
P5E,ESPANOLA
P5N,KAPUSKASING
P6A,SAULT STE. MARIE
P6B,SAULT STE. MARIE
P6C,SAULT STE. MARIE
P7A,THUNDER BAY
P7B,THUNDER BAY
P7C,THUNDER BAY
P7E,THUNDER BAY
P7G,THUNDER BAY
P7J,THUNDER BAY
P7K,THUNDER BAY
P7L,THUNDER BAY
P8N,DRYDEN
P8T,SIOUX LOOKOUT
P9A,FORT FRANCES
P9N,KENORA
P0A,BARRIE
P0B,BARRIE
P0C,BARRIE
P0E,BARRIE
P0G,BARRIE
P0H,NORTH BAY
P0J,SUDBURY
P0K,SUDBURY
P0L,TIMMINS
P0M,SUDBURY
P0N,TIMMINS
P0P,SUDBURY
P0R,SUDBURY
P0S,SAULT STE. MARIE
P0T,THUNDER BAY
P0V,DRYDEN
P0W,DRYDEN
P0X,DRYDEN
